Huel_1957354721804956	on-a-protocol	quantified-outcome,absence-screening	peer-to-camera
Huel_1888090111810476	on-a-protocol	retail-verification,quantified-outcome	product-only
Huel_935062045568857	cant-evaluate-it	spectacle-demo	graphic
Huel_1700697357774132	restocking	identity-display,ritual-construction	peer-to-camera
Gruns_1529833378542920	unsayable-symptom	naming-the-shame,spectacle-demo	graphic
Gruns_1382315417072328	rules-stopped-working	borrowed-authority	graphic
Gruns_2333333473861633	unsayable-symptom	naming-the-shame,spectacle-demo	graphic
Gruns_976637344997909	cant-evaluate-it	peer-proof	peer-to-camera
AG1_1684528422727312	cant-evaluate-it	borrowed-authority,ritual-construction	celebrity
AG1_1502974967937127	body-changed-overnight	peer-proof,borrowed-authority	peer-to-camera
AG1_979894217997063	optimising-a-stack	quantified-outcome	product-only
AG1_4763038123918987	routine-as-content	identity-display	product-only
DavidProtein_1474054674372377	cant-evaluate-it	peer-proof	peer-to-camera
DavidProtein_922866117341108	expects-it-to-be-unpleasant	spectacle-demo	product-only
DavidProtein_960125063641334	choosing-a-variant	scarcity-or-apology	peer-to-camera
DavidProtein_1474634594067931	named-hour	ritual-construction	peer-to-camera
ConsciousBar_1527379738371841	named-hour	absence-screening	peer-to-camera
ConsciousBar_2527972424360923	choosing-a-variant	identity-display	product-only
ConsciousBar_2309657203141420	cant-evaluate-it	peer-proof	stranger
ConsciousBar_1731299744470879	waiting-for-the-price	value-arithmetic	product-only
Paleovalley_4355126081469026	waiting-for-the-price	value-arithmetic,scarcity-or-apology	graphic
Paleovalley_1398824312127598	waiting-for-the-price	value-arithmetic,spectacle-demo	graphic
Paleovalley_26874426752235867	optimising-a-stack	quantified-outcome,value-arithmetic	product-only
Paleovalley_1509929117591258	body-changed-overnight	peer-proof,quantified-outcome	peer-to-camera
PrimeBites_1519920072678844	named-hour	identity-display	product-only
PrimeBites_1328749915718557	expects-it-to-be-unpleasant	identity-display	product-only
BUILT_1564379668673001	choosing-a-variant	scarcity-or-apology	product-only
BUILT_1949602702373756	expects-it-to-be-unpleasant	spectacle-demo	peer-to-camera
BUILT_2514716579050219	seen-owning-it	identity-display	product-only
BUILT_2256158475172285	expects-it-to-be-unpleasant	quantified-outcome	product-only
BUILT_2494377624403618	life-event	identity-display	peer-to-camera
BUILT_1449255660347153	expects-it-to-be-unpleasant	quantified-outcome	product-only
QuestNutrition_1033919765992698	routine-as-content	ritual-construction,spectacle-demo	graphic
QuestNutrition_1761476121687683	choosing-a-variant	scarcity-or-apology	product-only
QuestNutrition_2871924189854633	restocking	retail-verification,peer-proof	peer-to-camera
QuestNutrition_2457392581778739	quitting-an-incumbent	naming-the-shame	graphic
RXBAR_1856135815115155	rules-stopped-working	peer-proof,naming-the-shame	athlete
RXBAR_1368008501979472	unsayable-symptom	peer-proof,naming-the-shame	peer-to-camera
GoMacro_1594797408282029	vetting-ingredients	absence-screening,origin-transparency	product-only
GoMacro_2096443754606895	buying-for-someone-else	value-arithmetic	product-only
GoMacro_2926125964412601	vetting-ingredients	absence-screening,origin-transparency	product-only
GoMacro_1513431410242708	vetting-ingredients	absence-screening,origin-transparency	product-only
GoMacro_922228274203530	vetting-ingredients	absence-screening	product-only
GoMacro_1005194585331914	restocking	absence-screening,value-arithmetic	product-only
GoMacro_1585583996601388	vetting-ingredients	absence-screening,origin-transparency	product-only
CLIFBar_1231039742370458	named-hour	identity-display	product-only
MuchoBars_2845087095835226	quitting-an-incumbent	retail-verification,absence-screening	peer-to-camera
MuchoBars_1033260142486292	expects-it-to-be-unpleasant	spectacle-demo	peer-to-camera
MuchoBars_2203396150232145	first-time-in-category	scarcity-or-apology,peer-proof	product-only
MuchoBars_991515473700796	on-a-protocol	identity-display,peer-proof	peer-to-camera
MuchoBars_2087974502134165	waiting-for-the-price	value-arithmetic,retail-verification	peer-to-camera
Jacob_896327992763461	vetting-ingredients	absence-screening	product-only
Jacob_1012842141389837	routine-as-content	identity-display	product-only
Jacob_1707374080354637	vetting-ingredients	origin-transparency	product-only
