1.2	The Scarcity-Cued Buyer	choosing-a-variant	scarcity-or-apology	product-only	Back in stock at billboard scale; the shortage is the story and the three scents are the afterthought.
1.3	The Scarcity-Cued Buyer	choosing-a-variant	scarcity-or-apology	product-only	The same back-in-stock frame running three months; the urgency is permanent, which she will not check.
1.4	The Kit-Over-Components Buyer	first-time-in-category	value-arithmetic,naming-the-shame	product-only	A starter pack plus smell incredible naked; the bundle removes the need to understand the range.
1.5	The Bathroom Haul Watcher	choosing-a-variant	peer-proof	peer-to-camera	Answering a comment about which format is better; the shelf behind her is the evidence she has tried them all.
1.6	The Intimate-Symptom Confessor	unsayable-symptom	naming-the-shame,borrowed-authority	product-only	Underboob sweat printed as a headline; the OB/GYN line is what makes saying it out loud survivable.
1.7	The Custom-Formula Believer	choosing-a-variant	risk-reversal	product-only	What should you choose, then a quiz; the range has grown past the point where she can pick unaided.
1.8	The Seasonal-Drop Chaser	choosing-a-variant	identity-display	graphic	The flavour drawn as a psychedelic landscape; the can is being sold as a graphic, not a drink.
1.9	The Seasonal-Drop Chaser	choosing-a-variant	identity-display	graphic	Pure pattern with the can barely present; the art style is the brand recognition doing the work.
1.10	The Category Defector	seen-owning-it	identity-display	stranger	Cans on a picnic blanket; the can in hand is the point, and what it replaced is the unspoken half.
2.1	The Seasonal-Drop Chaser	choosing-a-variant	identity-display	graphic	Grape rendered as a poster; she is picking a colour as much as a flavour.
2.2	The Seasonal-Drop Chaser	choosing-a-variant	identity-display	graphic	Cans pegged to a washing line; the styling is doing the summer positioning the copy never states.
2.3	The Seasonal-Drop Chaser	choosing-a-variant	identity-display	graphic	Cream soda given its own illustrated world; each flavour is treated as a separate product line.
2.4	The Category Defector	quitting-an-incumbent	spectacle-demo	product-only	The sound of water versus the sound of this; plain water is the incumbent being made to sound boring.
2.5	The First-Taste Reactor	cant-evaluate-it	peer-proof	peer-to-camera	A face mid-reaction with no product in frame yet; the verdict arrives before the pitch does.
2.6	The Seasonal-Drop Chaser	choosing-a-variant	spectacle-demo	graphic	Can and poured glass side by side; the serve suggestion is what turns a flavour into an occasion.
2.7	The Category Defector	seen-owning-it	identity-display	stranger	Two men toasting cans at a theme park; the swap is being performed in the exact place a soda belongs.
2.8	The Category Defector	seen-owning-it	identity-display	product-only	Two cans clinked over grass; the gesture is a toast, which is the ritual being transferred.
2.9	The Sober-Curious Substituter	seen-owning-it	identity-display	graphic	A can styled with a coupe glass and jewellery; the staging says evening, and the drink says no alcohol.
2.10	The Seasonal-Drop Chaser	choosing-a-variant	identity-display,peer-proof	stranger	Four women, four flavours, one grid; the range is being shown as a set of personalities.
