1.1	The GLP-1 Patient Afraid of Losing Muscle	Knows the drug takes weight indiscriminately and fears the loss is coming off the wrong tissue; wants the injection's damage bounded rather than its results questioned.
1.2	The Supplement-Stack Abandoner	Has a shelf of half-finished bottles she never remembers to take; one pack a day is the promise that the routine will finally survive contact with her mornings.
1.3	The Man Who Buys Another Man's Discipline	Treats a visibly disciplined celebrity as evidence the product belongs to a life he wants; the physique does the arguing, the formula is barely mentioned.
1.4	The Taste Skeptic Being Ambushed	Assumes protein food is punishment, so genuine on-camera surprise is the only proof she will accept from a stranger.
1.5	The Cross-Section Inspector	Does not trust a wrapper shot; needs the bar broken open so texture and filling can be judged before she risks a box.
1.6	The Street-Stopped Stranger	Believes an unrehearsed reaction on a pavement cannot be bought, which is exactly why the format keeps working on her.
1.7	The Coffee Creamer Defector	Has one daily ritual she will not give up and is being offered a swap inside it rather than a new habit on top of it.
1.8	The Flavour-Curious Deal Taker	Already accepts the category and is choosing between variants; a named flavour plus a discount is the whole decision.
1.9	The Dessert-Identity Snacker	Wants the treat to look like a treat, not a supplement; sprinkles and a pink base are the point and the macros are the permission slip.
1.10	The Limited-Drop Chaser	Follows the brand the way she follows sneaker releases; scarcity is the product and the flavour is the excuse.
2.1	The Macro Purist's Opponent	Tired of being audited by stricter eaters online; the ad takes her side against the comment section and sells belonging as much as food.
2.2	The Breakfast Rule-Breaker	Wants explicit permission to eat dessert at 8am; naming it a breakfast treat converts a transgression into a category.
2.3	The 8PM Craving Negotiator	Knows exactly which hour her willpower fails and is shopping for a substitute rather than more resolve.
2.4	The Breakfast Rule-Breaker	Wants explicit permission to eat dessert at 8am; naming it a breakfast treat converts a transgression into a category.
2.5	The Candy-Aisle Convert	Judges a protein bar against a Reese's, not against another bar; the marshmallows in frame set that comparison deliberately.
2.6	The Texture-Led Buyer	Buys on mouthfeel words before macros; fluffy and cookie dough are doing more work than fifteen grams.
2.7	The Accidental-Discovery Watcher	Responds to being shown a find rather than sold a product; the POV framing lets her feel she stumbled on it herself.
2.8	The Glovebox Stocker	Buys for the gap between leaving the house and eating properly; keys in frame place the product in transit, not in a kitchen.
2.9	The Bulk Case Buyer	Already converted and now optimising cost per bar; a twelve-count and a calorie number is a restock prompt, not a pitch.
2.10	The Glovebox Stocker	Buys for the gap between leaving the house and eating properly; keys in frame place the product in transit, not in a kitchen.
3.1	The Shelf-Recognition Shopper	Buys the pack she can already picture in a store aisle; a clean product-on-colour shot is a memory aid, not an argument.
3.2	The Flavour-Line Completist	Trusts the brand and is now working through its range; the new variant is the entire news.
3.3	The Post-Workout Recipe Follower	Wants the bar turned into something more than a bar; a recipe makes an ordinary product feel like a technique she has learned.
3.4	The Flavour-Line Completist	Trusts the brand and is now working through its range; the new variant is the entire news.
3.5	The Visible-Result Athlete	Reads a lean running body as the credential; the billboard behind him makes the claim feel civic rather than advertised.
3.6	The College Athlete's Shelf	Buys inside a team context where food is equipment; the branded track and matching kit signal institutional approval.
3.7	The Desk-Bound Snacker	Eating at a workstation without leaving it; the ad meets her in the hour when the alternative is a vending machine.
3.8	The Gym-Floor Realist	Wants a bar recommended by someone who plainly trains rather than someone who plainly models.
3.9	The Commuting Energy Seeker	Fuels a journey rather than a workout; a helmet and real fruit reframe the bar as transport food, not sports nutrition.
3.10	The Tailgate Outdoorsman	Buys for the boot of the car and the start of a trip; the product is packed, never plated.
4.1	The Snack-Sharing Mother	Wants one thing she can eat and hand to a toddler without a second decision; togetherness is the benefit and the ingredients are the permission.
4.2	The Lunchbox Buyer	Purchasing for a child who will reject anything worthy-looking; kid branding plus four grams of sugar is the negotiated settlement.
4.3	The Portion-Format Convert	Prefers many small bites to one committed bar; the pack format is what changed her mind, not the ingredients.
4.4	The Twenty-Something Morning Documentarian	Frames her routine as content; the product earns its place by being a legible prop in a morning she is already performing.
4.5	The Portion-Format Convert	Prefers many small bites to one committed bar; the pack format is what changed her mind, not the ingredients.
4.6	The Portion-Format Convert	Prefers many small bites to one committed bar; the pack format is what changed her mind, not the ingredients.
4.7	The Organic-Label Reader	Scans for the ingredient flag before the macro; organic oats is the phrase that clears the purchase.
4.8	The Sponsored-Athlete Believer	Accepts a paid partnership as a credential rather than discounting it, provided the body is real and the sport is visible.
4.9	The Clean-Label Lifter	Auditing for seed oils and soy as closely as protein; a Notes-app screenshot reads as a private recommendation rather than a brand claim.
4.10	The Avoidance-Story Listener	Buys from a narrative about what someone stopped doing; the confession format sells a decision rather than a product.
