27.1	The Food-Porn Comparator	expects-it-to-be-unpleasant	absence-screening,spectacle-demo	product-only	What if it tasted like cake is the whole hook; the three free-from badges are what make the cake permitted.
27.2	The First-Taste Reactor	expects-it-to-be-unpleasant	peer-proof,spectacle-demo	peer-to-camera	Filmed mid-bite; the chew is the review and the pause after it is the verdict.
27.3	The Supply-Chain Reader	vetting-ingredients	origin-transparency	stranger	The country and the mill are printed in the corner like a spec; she reads clothing the way others read food.
27.4	The Supply-Chain Reader	cant-evaluate-it	origin-transparency,spectacle-demo	product-only	A workshop with the tools still out; the factory is the proof and the mess is what makes it credible.
27.5	The Supply-Chain Reader	cant-evaluate-it	origin-transparency	stranger	Grainy archival footage of hands working; the age of the film is standing in for the age of the practice.
27.6	The Supply-Chain Reader	cant-evaluate-it	origin-transparency	stranger	The same footage running months apart; provenance is the only claim this brand ever makes.
27.7	The Supply-Chain Reader	vetting-ingredients	origin-transparency,absence-screening	product-only	Undyed, natural dyes, river shell buttons; the spec line is longer than any benefit line on the page.
27.8	The Supply-Chain Reader	vetting-ingredients	absence-screening	product-only	UNDYED as the only word on the garment; the absence of a process is the product feature.
27.9	The Kitchen-Counter Demonstrator	routine-as-content	peer-proof	peer-to-camera	In her own kitchen with nothing staged; the credibility is entirely in the room.
27.10	The Depleted Mother	named-hour	naming-the-shame	peer-to-camera	Headband, no makeup, visibly done; the exhaustion is the segment and the bar is the concession.
28.1	The Depleted Mother	cant-evaluate-it	identity-display	product-only	The brand name is the joke and the whole message; nothing else needs to be on the counter.
28.2	The Depleted Mother	named-hour	peer-proof	peer-to-camera	Filmed in the car because that is where the free minute is; the location is the insight.
28.3	The Depleted Mother	on-a-protocol	peer-proof	peer-to-camera	Post-workout and mid-sentence; she is proving the bar belongs in a day that already has rules.
28.4	The Boot-Of-The-Car Snacker	named-hour	ritual-construction	peer-to-camera	Unwrapping it in the driver's seat; the car is where this product is actually eaten.
28.5	The Variety-Pack Household Buyer	restocking	value-arithmetic	product-only	A box tipped out onto a board; the count is the message and the reorder is the ask.
28.6	The Gym-Bag Packer	routine-as-content	peer-proof	peer-to-camera	Two bags being packed at the door; the bar earns its place by surviving the bag.
28.7	The Texture-Proof Watcher	cant-evaluate-it	spectacle-demo	product-only	A brush loading colour off a cream; the pickup is the only thing she cannot judge from a swatch.
28.8	The Bathroom-Shelf Displayer	seen-owning-it	identity-display	graphic	Four sticks floating in pool water; the object is being styled as an accessory, not a cosmetic.
28.9	The Shade-Matcher	choosing-a-variant	spectacle-demo	graphic	A tower of cross-sections; the whole range shown at once is how she finds her one.
28.10	The Everyday-Carry Curator	routine-as-content	identity-display	product-only	Keys, earbuds and three products in one flatlay; the bag contents are the personality being sold.
