23.1	The Salon-Result-At-Home Chaser	cant-evaluate-it	spectacle-demo,peer-proof	peer-to-camera	BEFORE stamped on the first frame is a contract; she will stay to see whether the after earns it.
23.2	The Scalp-First Convert	routine-as-content	spectacle-demo	product-only	Filmed at the scalp in the shower; the technique is what she does not know how to do yet.
23.3	The Category Defector	quitting-an-incumbent	identity-display,naming-the-shame	peer-to-camera	We quit shampoo is stated as a group decision; leaving the category is the identity being offered.
23.5	The Trade-Pro Recommended Buyer	cant-evaluate-it	borrowed-authority,peer-proof	stranger	A tattooed man in his own shop; the trade is the credential and the walls behind him are the proof.
23.7	The Trade-Pro Recommended Buyer	choosing-a-variant	identity-display,spectacle-demo	product-only	Four attributes arrowed onto one finished style; he is picking a hold, not a brand.
23.8	The Home Colour Experimenter	cant-evaluate-it	peer-proof,spectacle-demo	peer-to-camera	So pigmented is the only spec that matters at home; she has been let down by weak box colour before.
23.9	The Home Colour Experimenter	routine-as-content	spectacle-demo	product-only	Gloved hands and dye in a palm; the mess is the part she is nervous about and the part she watches.
23.10	The Home Colour Experimenter	seen-owning-it	identity-display	peer-to-camera	Purple era unlocked frames a hair colour as a chapter; the change is the announcement.
24.1	The Home Colour Experimenter	first-time-in-category	risk-reversal,value-arithmetic	peer-to-camera	Semi-permanent and thirty minutes are both risk numbers; reversibility is what gets her to try.
24.2	The Fandom Collector	seen-owning-it	scarcity-or-apology,identity-display	graphic	A licensed pillowcase as a limited drop; the franchise is the product and the pillow is the format.
24.3	The One Who Got Complimented	seen-owning-it	peer-proof,identity-display	peer-to-camera	A stranger's reaction relayed second-hand; being noticed is the outcome, the hair is the mechanism.
24.4	The Bathroom Haul Watcher	choosing-a-variant	spectacle-demo	peer-to-camera	A fan of packets held up at once; she is watching a haul to find out what the options even are.
24.5	The Travel-Size Packer	life-event	ritual-construction,spectacle-demo	product-only	A trip is the occasion; the ziplock in the case is the problem being named before the product appears.
24.6	The Free-Gift Threshold Buyer	waiting-for-the-price	value-arithmetic,scarcity-or-apology	peer-to-camera	Regret sooner is the framing; the free kit is positioned as something she has been missing out on.
24.7	The Day-Parted Routine Buyer	choosing-a-variant	retail-verification,ritual-construction	graphic	Morning, daytime, wind down; the day is the segmentation and the shelf price is the closer.
24.8	The Low-T Suspecting Man	rules-stopped-working	blame-relocation	stranger	This is what happens when is a mechanism story; he is being told his decline has a cause with a name.
24.9	The Low-T Suspecting Man	rules-stopped-working	naming-the-shame,blame-relocation	peer-to-camera	Type 2 makes it a diagnosis he can be sorted into; the slump at the desk is the recognisable frame.
24.10	The Low-T Suspecting Man	on-a-protocol	peer-proof,risk-reversal	peer-to-camera	Answering a comment about TRT puts the brand between him and needles; before you start is the wedge.
